,accuracy,num_samples,num_correct
aa,0.2910958904109589,4672,1360.0
ae,0.4975066001760047,6818,3392.0
ah,0.12642857142857142,2800,353.99999999999994
ao,0.2909052720016803,4761,1385.0
aw,0.04707792207792208,1232,58.0
ax,0.13588026782197715,2539,345.0
ax-h,0.017341040462427744,173,2.9999999999999996
axr,0.30929125970448285,3993,1235.0
ay,0.19181521466231483,3983,764.0
b,0.08775981524249422,866,76.0
bcl,0.34986522911051215,1855,649.0
ch,0.14084507042253522,781,110.0
d,0.27419354838709675,1364,373.99999999999994
dcl,0.3741690408357075,3159,1182.0
dh,0.21171446003660768,1639,347.0
dx,0.1137357830271216,1143,130.0
eh,0.14468371467025573,4458,645.0
el,0.13063909774436092,1064,139.00000000000003
em,0.007874015748031496,127,1.0
en,0.045714285714285714,700,32.0
eng,0.0,11,0.0
epi,0.16118769883351008,943,152.0
er,0.275092936802974,3228,888.0
ey,0.1646482122260669,3468,571.0
f,0.6099246231155779,3184,1942.0000000000002
g,0.20115495668912417,1039,209.0
gcl,0.14027431421446385,1604,225.0
h#,0.8108581436077058,19985,16205.0
hh,0.1258426966292135,890,112.0
hv,0.2603938730853392,914,238.0
ih,0.1852649719948298,4642,859.9999999999999
ix,0.2344977436068862,5983,1403.0
iy,0.48364204955496753,8314,4021.0
jh,0.18345323741007194,834,153.0
k,0.5782717595491547,3194,1847.0
kcl,0.34562626489768383,4447,1537.0
l,0.338562091503268,5355,1813.0
m,0.3164847788627226,3482,1102.0
n,0.3610842207163601,5165,1864.9999999999998
ng,0.1763506625891947,981,173.0
nx,0.04600484261501211,413,19.0
ow,0.22808074721301597,3319,757.0
oy,0.1375438596491228,1425,196.0
p,0.33174508636092914,1679,557.0
pau,0.040901502504173626,2396,98.00000000000001
pcl,0.14911193721602645,2421,361.0
q,0.19557195571955718,2981,583.0
r,0.4126163391933816,5802,2394.0
s,0.770970970970971,9990,7702.0
sh,0.5495934959349593,3075,1690.0
t,0.3705902899056933,2863,1061.0
tcl,0.21608567828643427,4762,1029.0
th,0.11787072243346007,789,93.0
uh,0.0016420361247947454,609,1.0
uw,0.13761467889908258,654,90.0
ux,0.32989183874139627,2034,671.0
v,0.2380640941792021,1529,364.0
w,0.5133030499675535,3082,1581.9999999999998
y,0.2064191315292637,1589,328.0
z,0.40031520882584715,3807,1524.0
zh,0.05581395348837209,215,12.0
